date,symbol,action,shares,price,value,profit,pnl_pct
2024-08-15 00:00:00-04:00,SPY,BUY,3,546.2661743164062,1638.7985229492188,,
2024-08-16 00:00:00-04:00,AAPL,BUY,8,225.00283813476562,1800.022705078125,,
2024-08-16 00:00:00-04:00,MSFT,SELL,4,415.3517150878906,1661.4068603515625,-10.1636962890625,-0.6080327419435169
2024-08-16 00:00:00-04:00,NVDA,SELL,16,124.54065704345703,1992.6505126953125,27.51123046875,1.3999633877136148
2024-08-16 00:00:00-04:00,SPY,SELL,3,547.4909057617188,1642.4727172851562,3.6741943359375,0.22420049106008083
2024-08-19 00:00:00-04:00,AAPL,SELL,8,224.84356689453125,1798.74853515625,-1.274169921875,-0.07078632498803387
2024-08-19 00:00:00-04:00,NVDA,BUY,15,129.95892333984375,1949.3838500976562,,
2024-08-19 00:00:00-04:00,SPY,BUY,3,552.7257080078125,1658.1771240234375,,
2024-08-20 00:00:00-04:00,NVDA,SELL,15,127.2098159790039,1908.1472396850586,-41.236610412597656,-2.1153663713040336
2024-08-20 00:00:00-04:00,TSLA,BUY,9,221.10000610351562,1989.9000549316406,,
2024-08-20 00:00:00-04:00,SPY,SELL,3,551.826904296875,1655.480712890625,-2.6964111328125,-0.16261297383417453
2024-08-21 00:00:00-04:00,AAPL,BUY,8,225.35122680664062,1802.809814453125,,
2024-08-21 00:00:00-04:00,NVDA,BUY,15,128.45941162109375,1926.8911743164062,,
2024-08-21 00:00:00-04:00,TSLA,SELL,9,223.27000427246094,2009.4300384521484,19.529983520507812,0.9814554993405802
2024-08-21 00:00:00-04:00,SPY,BUY,3,553.7232666015625,1661.1697998046875,,
2024-08-22 00:00:00-04:00,NVDA,SELL,15,123.70092010498047,1855.513801574707,-71.37737274169922,-3.7042762815612265
2024-08-23 00:00:00-04:00,AAPL,SELL,8,225.78916931152344,1806.3133544921875,3.5035400390625,0.19433775049229385
2024-08-23 00:00:00-04:00,SPY,SELL,3,555.2146606445312,1665.6439819335938,4.47418212890625,0.2693392409031457
2024-08-28 00:00:00-04:00,AAPL,BUY,8,225.4407958984375,1803.5263671875,,
